Name_of_settler;;Native_soil;First_mention _ of_person_in_ Denmark;;Type_of_Religion;;Marital_Status_at_time_ of_immergration;;Number_of_chrilden_at_the_time_of_immigration;;After_settling_in_ Denmark;;gps_Longitude;;gps_Latitude ;
Cramer, Johann Caspar;;Kurpfalz;1760;;Reformed ;;Not mentioned ;;1;;Depated from the country;;49,408914;;8,107543;
Cramer, Johann Theobald;;Kurpfalz;1760;;Reformed ;;Not mentioned ;;1;;Depated from the country;;49,408914;;8,107543;
Cramer, Leonhard;;Erbach Hessen;1760;;Lutheran;;Married ;;0;;Remained in Denmark ;;49,657067;;8,999074;
Cramer, Leonhard;;Kurpfalz;1760;;Reformed ;;Not mentioned ;;0;;Depated from the country;;49,408914;;8,107543;
Damm, Johann Jacob ;;Erbach Hessen;1760;;Lutheran;;Not mentioned ;;0;;Depated from the country;;49,657067;;8,999074;
Daniel, Johann Wendel;;Wembach Hessen-Darmstadt;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,827757;;8,843913;
Dannerwaldt, Georg Ludwig ;;Rinklingen Kurpfalz;1761;;Lutheran;;Married ;;0;;Travelpas to Russia ;;49,034663;;8,682337;
Dannerwaldt, Johann Joachim;;Rinklingen Kurpfalz;1760;;Lutheran;;Married ;;1;;Travelpas to Russia ;;49,034663;;8,682337;
Dannerwaldt, Simon Friderich ;;Rinklingen Kurpfalz;1760;;Lutheran;;Married ;;5;;Travelpas to Russia ;;49,034663;;8,682337;
Decker, Leonhard;;Ansbach;1760;;Lutheran;;Not mentioned ;;1;;Depated from the country;;49,297576;;10,569725;
Dickes, Friderich;;Reipoltskirch in Vesterrige;1756;;Lutheran;;Married ;;4;;Remained in Denmark ;;Na;;Na;
Diefenthaler, Andreas;;Not mentioned ;1756;;Not mentioned ;;Married ;;4;;Died in Denmark ;;Na;;Na;
Dieter, Friderich;;Erbach Hessen;1760;;Reformed ;;Not mentioned ;;3;;Depated from the country;;49,657067;;8,999074;
Dieter, Johann Georg;;Weinheim Darmstadt;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,541936;;8,665821;
Dittmar, Jacob;;Ladenburg Kurpflaz;1759;;Not mentioned ;;Married ;;2;;Depated from the country;;49,470343;;8,610167;
Drechler, Christian;;Not mentioned ;1760;;Lutheran;;Married ;;6;;Depated from the country;;Na;;Na;
Drechler, Thomas;;Erbach Hessen;1760;;Lutheran;;Not mentioned ;;0;;Depated from the country;;49,657067;;8,999074;
Dreyer, Johannes;;Wembach Hessen-Darmstadt;1760;;Lutheran;;Married ;;4;;Travelpas to Russia ;;49,827757;;8,843913;
Duft, Johann Michael;;Wembach Hessen-Darmstadt;1760;;Lutheran;;Married ;;1;;Depated from the country;;49,827757;;8,843913;
Dürr, Johann Peter;;Erbach Hessen;1760;;Lutheran;;Married ;;6;;Remained in Denmark ;;49,657067;;8,999074;
Döringer, Heinrich;;Kurpfalz;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,408914;;8,107543;
Dörstein, Johann Jacob;;Schwetzingen Kurpfalz;1760;;Reformed ;;Not mentioned ;;2;;Depated from the country;;49,383244;;8,571813;
Dörstein, Martin;;Württemberg;1760;;Lutheran;;Not mentioned ;;3;;Depated from the country;;48,767863;;9,227412;
Eberhard, Georg;;Schriesheim Kurpfalz;1759;;Reformed ;;Married ;;1;;Depated from the country;;49,476097;;8,660093;
Eichner, Johann Georg;;Selas by the town Bentzen;1759;;Reformed ;;Married ;;2;;Depated from the country;;Na;;Na;
Engelhart, Christian;;Seckenheim Kurpfalz;1760;;Reformed ;;Unmarried ;;0;;Depated from the country;;49,463163;;8,559455;
Erhard, Johann Georg;;Birchenau Kurpfalz;1760;;Lutheran;;Married ;;0;;Travelpas to Russia ;;49,562045;;8,709736;
